##########################################################################
#
# Configuration of quest entries in Pip-Boy. Description format:
#
# 1) location, 2) quest description, 3) GVAR number, 4) quest opening, 5) quest completion
#
# --------------------------------------------------------
#
# More details:
#
# 1. Location name by number in the map.msg file.
# 2. Line number in the quests.msg file with the quest description to be displayed in PiPBoy.
# 3. Number of the GVAR variable responsible for the quest.
# 4. Min. GVAR value at which the quest will be opened.
# 5. Min. GVAR value at which the quest will be considered complete.
#
# ----------------------------------------
#
# Attention! The Pip-Boy only fits 18 lines of text, the rest falls outside the window
#
##########################################################


#----------------------------------------------------------
#Villa
#----------------------------------------------------------

# Find out about the raiders in Garage City
# GVAR_MAIN_QUEST_VILLA
1500, 100, 79, 1, 2

# Free your fellow tribesmen in Flagstaff
# GVAR_MAIN_QUEST_FLAGSTAFF
1500, 101, 84, 1, 2

# Free your fellow tribesmen in Tu-San
# GVAR_MAIN_QUEST_TWOSUN
1500, 102, 85, 1, 2

# Speak to the Community Council
# GVAR_MAIN_QUEST_SYNOD_VILLA
1500, 103, 183, 1, 2

# Search the cellars for family heirlooms
# GVAR_VILLA_RELICT
1500, 104, 80, 1, 2

# Resident requires medical attention
# GVAR_VILLA_MEDIC_HELP
1500, 105, 155, 1, 2

# Find and return a runaway child
# GVAR_VILLA_KID_RUN
1500, 107, 82, 1, 2

# Drive marauders from the Villa plantations
# GVAR_VILLA_MARAUDERS
1500, 108, 77, 1, 2

# Repair the Villa weather station
# GVAR_VILLA_METEO
1500, 109, 78, 1, 2

# Find Chris
# GVAR_VILLA_QST_CHRIS
1500, 111, 185, 1, 2

# The Council has decided to blow up the Flagstaff mines
# GVAR_FLAGSTAFF_MINES_DESTROY
1500, 112, 121, 1, 2

# The Council has decided to destroy the machine in Garage City
# GVAR_GARAGE_STANOK_DESTROY
1500, 113, 223, 1, 2

# Villa needs allies
# GVAR_VILLA_ALLIANCE_PIP
1500, 114, 190, 1, 2

#-----------------------------------------------------------
# Flagstaff
#-----------------------------------------------------------

# Infiltrate the slave pen and find Villa's people there
# GVAR_FLAGSTAFF_SLAVES_DIALOG
1501, 200, 88, 1, 2

# Free the tribesmen from the pen by any means
# GVAR_FLAGSTAFF_SLAVES_ZAGON
1501, 201, 89, 1, 2

# Rescue the tribesmen from the mine trap
# GVAR_FLAGSTAFF_SLAVES_MINE
1501, 202, 90, 1, 2

# Repair the drilling robot
# GVAR_FLAGSTAFF_ROBOT_REPAIR
1501, 203, 92, 1, 2

# Eliminate the rat king in the mines
# GVAR_FLAGSTAFF_RAT_KING_QST
1501, 204, 93, 1, 2

# Roy Faber will pay for the ranger's head
